benefit - benefit
Company,welfare
泰晶殿皇家SPA莊園_康是富有限公司,"工作三大保障：
【工作權保障】穩定工作機會保障
【教育保障】成為最專業的芳療人才與主管，輔導考取國際證照
【升遷制度保障】完整的培訓計劃，短中長期完整職涯規劃

福利制度：
【整體形象】免費制服，彩妝教學、醫美員工優惠。
【休假制度】櫃檯人員月休8天;芳療師月休8-10天，可申請長休充電1個月，有1-1.5天榮譽假，排休方式極富彈性。
【薪資保障】業界唯一保障薪資，不須推銷產品，無業績壓力，享有留任獎金、優維獎金。
【健康照護】勞保、健保、6%勞退金、急難救助金。
【幸福樂活】生日禮、喪葬補助、年節禮品、員工及家屬優惠、國內外旅遊、員工尾牙/春酒。
【貼心環境】提供宿舍，餐廳，休息室，工作環境有健身房、岩盤浴。
【職涯規劃】職前訓練、在職訓練、名師教育訓練，績優升遷、儲備幹部、單位主管、輔導成為合夥人。
【相關企業】美加醫美、康呈生醫、Dr.Come康博診所、 MQ美甲美睫、幸福村、法布甜法式伴手禮專賣店享員工優惠。"
東方絲路科技有限公司,"1. 具競爭力的薪資制度: 年終/獎金
2. 順暢的升遷管道 
3. 週休二日
4. 各項補助: 國外旅遊補助、下午茶、部門聚餐補助、結婚禮金、員工生育補助
5. 多元福利: 員工購物優惠

※勞健保屬於公司法定義務，公司員工都有投保，請放心"
鼎泰豐小吃店股份有限公司,"(1)保險項目：勞保、健保、團保及退休金提撥

(2)員工福利：
＊獎金福利：績效獎金、語言獎金、禮貌獎金、久任獎金、紅利獎金、單日獎金、年終獎金
＊健康福利：企業按摩師、樂活諮詢師、人因諮詢師、書籍借閱
＊旅遊福利：員工旅遊、海外觀摩補助(日本)
＊節慶福利：中秋禮券、端午禮券、生日禮券、春節團圓休假(除夕、初一)
＊其他福利：員工休息室、供膳、員工消費折扣、聚餐活動

(3)教育訓練：
＊新人訓練：1.基礎訓練 2.通識教育
＊在職訓練：1.專業知識 2.操作技能 3.管理職能 4.語言能力 5.其他能力"
鬍鬚張股份有限公司,"●歡迎對餐飲工作有興趣者加入我們的行列，工作時數依需求彈性排班。

●多元福利
薪資福利：加班費、全勤獎金、年節獎金、員工生日禮金、年終獎金、三節獎金/禮品、打烊班時段津貼、績效獎金、介紹獎金、支援津貼、外送津貼、計時人員國定假日雙倍時薪。
休假福利：產檢假、安胎假、陪產假、育嬰假、生理假、生產假、公假、喪假、婚假、家庭照顧假。
保險福利：勞保、健保、勞退、新員體檢補助、員工金每年免費體檢、勞退提撥。
伙食福利：員工購物享有折扣、員工餐半價、白飯免費提供。
衣著福利：員工制服。
社團活動：單車社、羽球社。
補助福利：同仁助學金、子女教育獎學金、結婚及生育禮金、建教合作。

●教育訓練
完善職能訓練，順暢升遷管道。"
威合股份有限公司,"1. 績效獎金、紅利另計 。   
2. 年節禮金或禮品，生日、學習津貼。 
3. 完整教育訓練制度。
4. 鼓勵創新與正向溝通。    
5. 注重人性化管理。"
美商_睿科網路科技有限公司,"• 與國際接軌: 國內外最先進技術訓練及實務解決方案
• 優於勞基法之15天年假制度 (新進到職同仁即可享有特休!!) 
• 優於業界之團體醫療、門診理賠等保險制度 
• 年度健康檢查，定期追蹤員工體況
• 不定期員工旅遊、活動及聚餐 
• 員工認股方案ESPP 
• 股票激勵計畫RSU 
• 舒適的工作環境及 體恤員工的多元福利

我們還不是最頂尖，但我們期待和員工一起茁壯變得更好!"
地球村美日韓語_地球村語文資訊有限公司,
裕利股份有限公司,"◆ 獎金 / 禮品類
 - 保障年薪14個月
 - 三節禮金/禮品
 - 勞動節獎金/禮品
 - 生日禮金
 - 具競爭力的獎金制度
 - 年資禮品
◆ 保險類
 - 勞保
 - 健保
 - 員工團保(配偶及子女團保費用由公司全額負擔)
 - 退休金提撥
◆ 休閒類
 - 補助國內外旅遊
 - 社團活動
 - 年度同樂會
 - 慶生會 
 - 各項員工活動
◆ 請 / 休假制度
 - 週休二日
 - 年假 
 - 福利假
 - 全薪病假
◆ 補助類
 - 結婚禮金
 - 生育禮金
 - 社團補助
 - 旅遊補助
 - 倉庫同仁餐費補助
◆研磨咖啡無限暢飲
◆完善教育訓練"
富邦人壽保險股份有限公司_富恆通訊處(王皓霆)(核准文號110A01),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
燦星網通股份有限公司,"一.台灣燦星網通股份有限公司/台南燦坤先端智能研究所-福利制度
健保：傷病門診、住院醫療給付
勞保：傷病、生育、殘廢、死亡、老年給付
團險：全員均投保意外險、另依職務屬性加保運輸事故險、意外醫療、住院日額險、定期壽險等
健康檢查：定期辦理健康檢查
年終獎金：依年度績效核發年終獎金
婚喪禮金補助：遇有結婚或喪奠等情事，公司將提供禮金補助嘉惠或撫慰同仁
福委會：婚、喪、喜、慶、生育.....等補助
三節禮金與生日禮金
年度員工旅遊
依法提撥勞工退休金

二.漳州燦坤實業有限公司-local hire-福利制度
1.公司獲利良好時，提供年度調薪。
2.提供完整的教育訓練。
3.提供舒適整潔之工作環境及良好的升遷管道。
4.研發/工業設計同仁有多次機會參加海外參展或設計之機會。
5.上班時間為:周一至周六。
6.每年公司提供返台休假44天(平時9次共36天,春節當次8天),休假周期為每33天休假
   4天。
7.大陸法定節日可休假。
8.公司每年提供10趟往返小三通電子機票、船票,費用由公司承擔。
9.提供舒適的單身套房及方便的出行條件(游泳池、員工餐廳、員工通勤車)。
    對於攜眷同仁,亦提供眷屬房居住。
10.提供壽險/意外險/運輸事故險/境外事故險/意外住院醫療險。
11.提供一年一次健康檢查,費用由公司承擔。
12.提供優厚的婚喪喜慶補助。
13.配合各類節日舉辦不同型態康樂活動及不定期舉辦員工登山、田園活動/旅遊。"
富邦人壽保險股份有限公司_富龍通訊處(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
台橡股份有限公司,"◆ 獎金/禮品：年終獎金、三節獎金/禮品、勞動節獎品/禮品
◆ 保險：勞保、健保、員工團保、眷屬團保、意外險、職災保險
◆ 休閒：國內旅遊、社團活動
◆ 制度：完整的教育訓練、順暢的升遷管道
◆ 設備：員工餐廳、圖書館
◆ 請 / 休假制度：週休二日
◆ 補助：結婚禮金、生育津貼、社團補助、員工進修補助、員工教育獎助學金、子女教育獎助學金、旅遊補助
◆ 其他：健康檢查"
國泰人壽保險股份有限公司_直效行銷部,"福利制度：
※ 教育訓練 
配合公司未來發展及個人職涯規劃，提供完善的在職教育訓練！ 
※ 其他福利
1. 享勞、健保、員工福利團體保險、意外險
2. 年終獎金、端午、中秋代金、婚喪禮金、生日禮物
3. 子女教育補助費、登山健行、春秋二季旅遊
4. 年終餐會補助、員工房貸優惠、國泰建設購屋優惠
5. 退休制度、完善的教育訓練、週休二日"
中國信託綜合證券股份有限公司,"◆ 獎金 / 禮品類
　1.年終獎金
　2.三節禮金/禮品
　3.生日禮金/禮品
◆ 保險類
　1.員工團保
　2.眷屬團保
　3.意外險
　4.職災保險
◆ 制度類
　1.伙食費
　2.績效獎金
　3.完整的教育訓練
　4.順暢的升遷管道
◆ 設備類
　1.員工餐廳
　2.哺乳室
◆ 請 / 休假制度
　1.週休二日
　2.特休/年假
　3.家庭照顧假
　4.女性同仁生理假
◆ 其他
　1.健康檢查
◆ 補助類
　1.結婚禮金
　2.生育津貼
　3.旅遊補助"
冠坤電子企業股份有限公司,"外派大陸：週休1.5日、駐大陸地區幹部每2.5月來回機票補助、一年5次返台休假(每次7~9天)。
台北公司：週休2日。
員工旅遊
健檢補助
三節禮金"
Synology_群暉科技股份有限公司,"群暉是一充滿工作活力、氣氛輕鬆、快速成長中的公司。在群暉，沒有墨守成規，只有鼓勵向前。群暉重視團隊合作和自我管理，提供挑戰，又兼具創意及輕鬆活潑的工作環境，唯勇於嘗試的人歡迎接受挑戰。

福利制度
獎金
1.年度獎勵獎金  2.三節(端午、中秋、年終)獎金

保險類
1.勞保  2.健保  3.勞工退休金提撥  4.出差平安保險與醫療險

休閒類
1.社團活動  2.免費飲品、新鮮水果與點心  3.不定期免費早餐、下午茶供應  4.公益活動舉辦

制度類
1.伙食津貼 2.教育訓練 3.工作學習組織  4.順暢的升遷管道

請 / 休假制度
1. 特休假  2.一年15天不扣薪病假 

其他
1.健康檢查  2.每周舒壓按摩 3. 免費機車位提供"
仁大資訊股份有限公司,"-
＊薪 資：除固定薪資外，另設有激勵獎金員工分紅認股制度。 
＊給 假：提供週休二日、陪產假、生理假、家庭照顧假。
＊活 動：國內旅遊、國外旅遊及社團活動(由福委會舉辦)
＊補 助：婚、喪、生育、住院、生日等補助。 
＊員工協助方案：年度健康檢查、員工以成本價購買公司產品、配公務門號、平板電腦。
＊休閒：員工健身房，提供跑步機、桌球等多樣休閒運動設施。
＊學習發展：免費提供各種技術、語言、相關職能等專業課程，激發員工潛能，打造優質人才。
-"
力麗觀光開發股份有限公司(力麗店5364),"一. 獎金 / 禮品類：1.年終獎金 2.三節禮金/禮品 
二. 保險類：正職員工享有1.勞保 2.健保 3.團保 
三. 制度類：1.員工制服(館內同仁) 2.伙食費(或員工餐) 3.完整的教育訓練 4.順暢的升遷管道 
四. 請休假制度：依人事行政局公告休假天數排休輪班 
五. 其他：1.健康檢查 2.主管職配發公務機 3.員工宿舍(台北館、高雄館、總公司不提供) 
六. 補助類：1.賀奠補助 2.員工急難救助 3.主管職公務機通話費補助 4.福委會提供員工職能進修補助"
華新麗華股份有限公司,1.優渥薪資及獎金制度(含年終獎金、績效獎金、生產獎金及員工分紅入股計劃)　2.完善教育訓練制度(職前訓練/在職/內外專業技能培訓...)　3.完善考核及多元化升遷管道　4.現代化軟硬體辦公設備(全面自動化/網路化電腦設備)　5.人性化管理及工作環境(廠區備有交通車及員工餐廳等設施)　6.優於勞基法的休假制度　7.勞健保、團保(含壽險、意外傷害險、住院醫療險、癌症險等)　8.職工福利委員會(福委會三節禮金、員工旅遊、慶生禮金、子女教育獎助金、無息貸款、婚喪喜慶補助)
富邦人壽保險股份有限公司_富達通訊處(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費 由公司全額負擔)、休假制度、各類行銷津貼、 增員獎金、年終獎金、節慶獎金、業務競賽獎 勵及其旅遊活動；2.富邦以照顧員工權益、善 盡社會責任為經營目標，提供員工產假天數優 於法令規定、生育補助、0~6歲子女育兒補助等 福利措施。
長源汽車股份有限公司,"一、打造幸福、友善職場環境。
1.	具市場競爭力的年薪 (平均16~17個月)
2.	優於市場水準的年終獎金
3.	年度績效紅利獎金
4.	年度調薪 
5.	每月獎勵金

二、設置福委會提升同仁滿意度，致力規劃並提供優渥的福利措施。
1.	三節禮金 
2.	生日禮金 
3.	獎助學金補助 
4.	特約商店折扣 
5.	員工專案休閒活動
6.	員工購車優惠 
7.	婚喪生育補助 
8.	旅遊補助獎勵 
9.	住院補助及慰問 
10.	每月慶生會
11.	年度家庭日
(福利詳細制度依照公司規定辦理)

三、多元的教育訓練提供完善的培訓，協助同仁通識及專業能力的強化成長。 
1.	外部進修補助
2.	員工各項在職教育訓練"
天仁茶業股份有限公司,"工作內容
天仁茗茶 https://.tenren.com.tw
1.門市服務、產品推廣銷售、收銀服務、賣場管理、商品管理…等等
2.吧台冷熱飲料調製及銷售

天仁喫茶趣 https://.chafortea.com.tw
外場服務、吧台調飲製作、茗茶銷售、收銀服務、賣場管理、商品管理…等等，須配合內外場輪調。

CHAFFEE
1.收銀服務、賣場管理、商品管理…等等。
2.吧台飲品及輕食製作

總公司行政幕僚人員
門市管理與經營、協助及支援門市內部營運作業、商品規劃及開發、促銷、廣宣規劃、新零售拓展、加盟協助事宜、支援及一般行政事務...等

工時與休假規定
1.專櫃每日8小時、門市每日8.5小時、喫茶趣每日9小時（分早/晚班，含休息時間），須配合排班，依實際狀況配合排班，加班給予加班費。
2.月薪人員月休假九天，春節及五月份休假十天(含勞動節在內)，需輪休。
3.總公司行政幕僚人員每日9小時（含休息時間），周休二日。

薪資待遇
1.另視個人工作表現給予工作及促銷獎金，每年並依個人考評及公司規定調薪。

教育訓練
總公司為新進同仁不定期舉辦各式訓練
1.員工基礎訓練：針對公司介紹、基本專業知識…等等，為期2-3天訓練。
2.員工進階訓練：針對茶葉、壺具、服務…等專知再次進行訓練，為期1-2天/次。
3.員工在職訓練：固定每1-2月回總公司進行專業知識或服務訓練。
4.陸羽茶藝課程訓練：在陸羽茶藝中心學習完整茶藝知識，完成課程並通過考核者頒發陸羽茶藝證書，並由總公司補助全額費用。

公司福利
供伙食（喫茶趣）、勞健保、員工退休金之提繳、三節獎金、國內外旅遊補助、特休假、生日提貨券、婚喪喜慶補助、員工購物優惠、制服、訓練補助、專業加給、健康檢查…等

＊＊意者備歷照傳及希望待遇寄 台北市忠孝東路4段107號6樓     天仁茶業(股)公司  李小姐        TEL: ( 02 )2776-5580"
臺灣湯淺電池股份有限公司,"1. 年終獎金、三節獎金；平均年薪18個月以上。
2. 教育訓練與進修補助。
   (訓練體制榮獲勞動部「人才發展品質管理系統」評鑑銅牌 )。 
3. 英、日語語言獎金(最高可請領新台幣12,000元)。 
4. 改善提案獎金。
5. 員工年度健康檢查。
6. 駐廠醫師諮詢服務。
7. 員工機車停車場。 
8. 員工餐廳。
9. 每日提供一瓶鮮乳。
10. 提供結婚禮金、喪葬補助、傷病住院補助。
11. 學齡前子女托兒津貼。
12. 員工福委會（提供三節禮券、生日禮券、子女教育補助金、急難現金借款、員工旅 遊或旅遊補助、員工眷屬旅遊補助、尾牙活動、不定期提供購物優惠與優惠廠商擺攤活動…等）。"
第一銀行_第一商業銀行股份有限公司,年節獎金、另依公司營運及個人績效發給績效獎金及員工酬勞、行員優惠儲蓄存款、優惠房貸及信貸、結匯優惠匯率及手續費、三節福利金、生日禮金、生育津貼、子女教育補助及獎學金、員工休假旅遊補助、體育康樂活動補助、定期健康檢查、勞工保險、全民健康保險、團體保險優惠、語言訓練、在職進修補助等。
燿華電子股份有限公司,"公司福利簡介：
1. 年終獎金(視考核狀況)
2. 享勞、健、團保
3. 員工國內、外旅遊補助  
4. 每年定期免費健康檢查  
5. 三節、生日禮品或禮券  
6. 各類社團活動及社團活動補助金  
7. 婚喪喜慶互助金及子女獎助學金  
8. 免費提供制服 
9. 備有員工餐廳(設有素食區)
10. 廠內、外教育訓練及進修補助
11. 員工協助方案
12. 托兒補助
13. 提供完善退休制度
14. 提供冷氣宿舍(宜蘭廠)，月付500元包含健身房、水、電

若有任何疑問，歡迎電洽
[土城職缺]02-22685071轉22528吳小姐、22527花小姐
土城廠址:新北市土城區中山路4巷3號
[宜蘭職缺]03-9705818  轉38523何小姐、38524楊小姐 
宜蘭廠址:宜蘭縣蘇澳鎮頂平路36號"
台灣便利物流_便利帶有限公司,"基本權益：勞保、健保、勞工退休金　

保險：團保、職災保險　

休假：週休二日　

津貼：二節禮品/禮金、員工伙食補助　

訓練／活動：尾牙/不定期餐敘　

公司配發機車、制服及配件、油錢保養公司負責(限外勤)"
富邦人壽保險股份有限公司_富學通訊處(鍾惠如)(核准文號110A01號),行銷專員(含)以上職級享：1.&#63791;基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各&#63952;行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎&#63871;及其&#63875;遊活動；2.富邦以照顧員工權&#64023;、善盡社會責任為經營目標，提供員工產假天&#63849;優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
業強科技股份有限公司,"◆ 獎金/禮品類
	1.年終獎金
	2.三節獎金/禮品
	3.勞動節獎品/禮品
◆ 請/休假制度
	1.週休二日
	2.特休/年假
	3.陪產假
	4.家庭照顧假
	5.女性同仁生理假
◆ 其他
	1.員工購物優惠
◆ 補助類
	1.結婚禮金
	2.生育津貼
	3.旅遊補助
	4.住院慰問金
	5.退職金提撥"
富邦人壽保險股份有限公司_富贏通訊處(陳雅蓮)(核准文號110A01號),"行銷專員(含)以上職級享：
1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、
各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；
2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。"
廣宇科技股份有限公司,"1. 本公司福利制度佳,有退休及員工分紅制度    2. 春節、端午、中秋有三節獎金、五一勞動及生日禮品    3. 每年免費團體旅遊及康樂活動    4. 有勞、健、團保制度    5. 週休二日"
Advantech_研華股份有限公司,"ABLE Club從「心」出發落實研華美滿人生

研華ABLE Club─美滿人生俱樂部中的「ABLE」一字，象徵的是Advantech Beautiful LifE，研華員工不只是樂在工作，從中獲得滿滿的成就感和認同感；在工作之餘，也能藉由ABLE Club豐富而多采多姿的活動，將「愛」與家人、同事、和其他社福團體分享，把幸福快樂的氛圍從自身散發出去，逐漸感染整個社會。

透過福委會和社團精心設計的各種活動，我們的愛從研華擴及到了研華眷屬；透過服務他人、利他的服務活動，我們的愛心無遠弗屆，傳遞到社會的每個角落；透過基金會產學合作平台，我們用愛灌溉社會的青年幼苗，讓他們逐漸長成枝繁葉茂的高聳樹木，用所學回饋社會；透過研華ABLE Club，我們的愛成就了研華人的美滿人生，無私的愛心也就此傳送出去，讓更多人一起迎向美滿的人生!

◆ 分紅/配股
1. 員工紅利: 個人績效獎金、團體績效獎金

◆ 獎金/禮品類
1. 年終獎金
2. 端午節及中秋節禮品
3. 生日禮金
4. 推薦人才獎金

◆ 保險類
1. 勞保
2. 健保
3. 團體保險：壽險、意外險、意外醫療險、住院險、重大疾病險、癌症險、職業災害險

◆ 休閒類
1. 客制化的員工福利制度, 包括國內旅遊、國外旅遊、電影欣賞、雜誌訂閱、餐券及住宿券等
2. 部門聚餐補助金
3. 每季慶生會
4. 社團活動
5. 藝文欣賞
6. 每日tea time, 提供無限暢飲飲料

◆ 制度類
1. 客觀的績效評核制度
2. 完整的教育訓練
3. 順暢的升遷管道

◆ 設備類
1. 員工餐廳

◆ 請 / 休假制度
1. 週休二日
2. 特休/年假
3. 一年五天不扣薪病假

◆ 其他
1. 年度健康檢查
2. 特約商店

◆ 補助類
1. 結婚禮金
2. 生產禮金
3. 住院慰問金"
富邦人壽保險股份有限公司_富德通訊處(陳嘉陽)(核准文號110A01號),"1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；
2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。"
新光人壽保險股份有限公司_淡江通訊處(菁英團隊),"制度：
(1)一年分為13個工作月，工作月日期依公司規定
(2)新進3-6個月實習期間每月工時30小時工資為4750元
(3)競賽獎金、年終獎金另計
(4)勞健保及團體保險
(5)新光醫院健檢及住院折扣
(6)新光人壽購物平台(新光友購站)核發三節、生日點數
(7)婚喪生育補助金
(8)職工福利委員會及社團活動
(9)退休金
福利制度：
(1)完整的教育訓練
(2)升遷管道暢通依自己規劃及努力程度晉升"
技嘉科技股份有限公司,"[具激勵性之獎酬制度]
● 年終獎金
● 營運績效獎金
● 專利獎金(研發)
● 順暢升遷管道

[快樂職場、美化人生]
● 健身房／韻律教室／哺乳室
● 各種名人、音樂、藝術、健康講座／藝文走廊
● 歡樂家庭日活動／運動會／尾牙旺年會
● 多元社團活動（鐵馬社／籃球社／瑜珈社／羽球社/Zumba社…）
● 附設餐廳供應多樣飲食／便利商店（廠區）
● 生日、三節禮品／旅遊補助或購物金7200元（年資1年以上）
● 結婚、生育、喪葬補助／急難、社團補助／ 電腦課程補助／子女獎學金補助
● 公司產品、輔銷品員購優惠／特約商店／兩廰院藝文優惠票／端午.中秋.年貨大街

[人性化管理與服務]
● 彈性上、下班（總公司）
● 健康諮詢／員工年度健檢／團保／眷屬醫療保險優惠方案
● 差旅諮詢服務／銀行代辦服務／電信諮詢及代辦服務
● 薪資戶跨行提款與轉帳免手續費

[重視人才發展之學習]
● 新進人員教育訓練：引導新進同仁快速融入技嘉大家庭
● 管理職能教育訓練：針對各階層主管規劃系列課程，強化管理職能
● 核心職能教育訓練：培育應具備之共通能力及共識
● 語文訓練：補助語文進修課程，提昇國際化能力
● 外訓課程：補助外部訓練課程，獲得業界新資訊與技術
● E-Learning：不受時空限制，自由選讀課程
● 技嘉書房（線上圖書系統）

[基金會簡介]
依據技嘉科技公司使命『創新科技、美化人生』籌設之『技嘉教育基金會』，於九十一年三月十五日通過教育部申請設立審查，獲準成立，以推動科技教育、藝術人文、美化人生、創造和諧進步之社會為發展宗旨。期透過推動科技教育、創新、藝術人文、關懷弱勢等活動，落實企之業回饋社會理念。並引導同仁參與志願服務工作，進而讓我們所處的社群，因技嘉人的參與而更美好。"
旭隆有限公司,"◆ 獎金 / 禮品類
　年終獎金
◆ 保險類
　1.勞保
　2.健保
    3.勞退
◆ 補助類
　1.結婚禮金
　2.生育津貼
   3.職工福利"
Yamazaki_台灣山崎股份有限公司,"★正職社員可享有:
1.採輪休制度，月休9~10天
2.年終獎金
3.三節獎金
4.生日兌換券
5.每月員工麵包兌換券
6.勞保，健保
7.勞工退休金提撥
8.團體保險
9.年度員工旅遊
10.工作滿六個月以上可享有特休假
11.年度員工健檢

★計時人員可享有:
1.每月員工麵包兌換券
2.勞保，健保
3.勞工退休金提撥
4.團體保險
5.年度員工旅遊
6.工作滿六個月以上可享有特休假
7.年度員工健檢"
富士達保險經紀人股份有限公司,週休二日、國內外員工旅遊、員工教育訓練、員工分紅、不定時聚餐、業績獎金、輔導獎金、推介獎金、年終獎金。
