104company - 104company
area,Company,Industry,Capital,Employee_Count
新北市土城區,燿華電子股份有限公司,印刷電路板製造業(PCB),5800000000,5000
台北市中正區,第一銀行_第一商業銀行股份有限公司,銀行業,89064000000,7290
新北市三重區,台灣便利物流_便利帶有限公司,快遞服務業,0,500
台北市松山區,富邦人壽保險股份有限公司_高明通訊處(曾靖雅)(核准文號110A01號),人身保險業,110831140000,27653
台北市松山區,富邦人壽保險股份有限公司_富學通訊處(鍾惠如)(核准文號110A01號),人身保險業,110831140000,27653
台北市南港區,業強科技股份有限公司,其他電子零組件相關業,1825000000,3500
台北市松山區,富邦人壽保險股份有限公司_富贏通訊處(陳雅蓮)(核准文號110A01號),人身保險業,110831140000,27653
新北市新店區,廣宇科技股份有限公司,電腦及其週邊設備製造業,5100000000,1500
台北市內湖區,Advantech_研華股份有限公司,電腦系統整合服務業,6318530000,8000
台北市松山區,富邦人壽保險股份有限公司_富德通訊處(陳嘉陽)(核准文號110A01號),人身保險業,110831140000,27653
新北市淡水區,新光人壽保險股份有限公司_淡江通訊處(菁英團隊),人身保險業,62376000000,10860
新北市新店區,技嘉科技股份有限公司,電腦及其週邊設備製造業,6290000000,8000
台北市內湖區,旭隆有限公司,紡織成衣業,0,500
台北市中山區,Yamazaki_台灣山崎股份有限公司,其他餐飲業,0,1000
台北市南港區,富士達保險經紀人股份有限公司,人身保險業,100000000,2000
台北市松山區,富邦人壽保險股份有限公司_苗榮通訊處(連坤誌) (核准文號110A01號),人身保險業,110831140000,27653
台北市松山區,富邦人壽保險股份有限公司_邦和二通訊處(黃暐婷)(核准文號110A01號),人身保險業,110831140000,27653
台北市信義區,台北醫學大學_事業發展處,大專校院教育事業,0,1650
台北市松山區,富邦人壽保險股份有限公司_高翔通訊處(胡姵俞)(核准文號110A01號),人身保險業,110831140000,27653
新北市三重區,新北市立聯合醫院,醫院,0,630
台北市松山區,邏輯電子股份有限公司,消費性電子產品製造業,35010000,1000
台北市中山區,崇友實業股份有限公司,通用機械設備製造修配業,1770000000,1200
新北市汐止區,宏正自動科技股份有限公司,電腦及其週邊設備製造業,1190000000,1700
新北市樹林區,億光電子工業股份有限公司,光電產業,5000000000,2000
台北市松山區,承展國際股份有限公司,其他紡織製品製造業,300000000,2000
新北市土城區,宇瞻科技股份有限公司,電腦及其週邊設備製造業,1000000000,550
新北市深坑區,台灣良得電子股份有限公司,其他電子零組件相關業,1000000000,5000
台北市松山區,富邦人壽保險股份有限公司_邦勁通訊處(林哲安)(核准文號110A01號),人身保險業,110831140000,27653
新北市新店區,龍偉實業股份有限公司,育樂用品製造業,20000000,2500
新北市板橋區,愛妮雅化妝品_芸妮有限公司,美容／美體業,0,500
台北市松山區,富邦人壽保險股份有限公司_富傳通訊處(張鴻佑)(核准文號109A01號),人身保險業,110831140000,27825
台北市中山區,國都汽車股份有限公司南松江分公司,汽機車及其零配件用品／批發業,800000000,1600
新北市中和區,新加坡商絲艾產品標識有限公司台灣分公司,印刷業,1000000,13000
台北市松山區,新萬盟有限公司,紡織成衣業,30000000,4000
台北市松山區,富邦人壽保險股份有限公司_高杆二通訊處(黃有祿)(核准文號110A01號),人身保險業,110831140000,27653
台北市中山區,國泰人壽保險股份有限公司_專招震達通訊處,人身保險業,100000000000,30000
台北市松山區,AnyMind Group Limited_新加坡商艾雅思股份有限公司台灣分公司,廣告行銷公關業,0,600
新北市新店區,立德電子股份有限公司,其他電子零組件相關業,2000000000,4000
台北市內湖區,中租控股_中租迪和股份有限公司,其他金融及輔助業,13700000000,1400
台北市信義區,聚陽實業股份有限公司,紡織成衣業,2500000000,34000
台北市內湖區,台固媒體股份有限公司,電視業,2500000000,600
台北市內湖區,富邦媒體科技股份有限公司(富邦momo),百貨相關業,0,2400
台北市大安區,國泰人壽保險股份有限公司_展業信義通訊處(趙穎萱),人身保險業,100000000000,30000
台北市內湖區,全國公證檢驗股份有限公司,檢測技術服務,0,700
新北市汐止區,怡盛公寓大廈管理維護股份有限公司,保全樓管相關業,350000000,3000
台北市松山區,富邦人壽保險股份有限公司_高彪通訊處(核准文號：110A01號),人身保險業,110831140000,27653
台北市松山區,微風廣場實業股份有限公司,百貨相關業,730000000,1000
台北市松山區,富邦人壽保險股份有限公司_高睿通訊處(核准文號110A01號),人身保險業,110831140000,27653
台北市松山區,富邦人壽保險股份有限公司_中辰四通訊處(陳雅芬)(核准文號110A01號),人身保險業,110831140000,27653
台北市松山區,富邦人壽保險股份有限公司_中英二通訊處(余敏愷)(核准文號110A01號),人身保險業,110831140000,27653
台北市中山區,國泰人壽保險股份有限公司_展業松江通訊處(謝育騰區襄理),人身保險業,100000000000,30000
台北市文山區,財團法人臺北市私立恆安老人長期照顧中心(長期照護型),社會福利服務業,50000000,700
新北市中和區,塞席爾商三集瑞國際科技股份有限公司台灣分公司,其他電子零組件相關業,250000000,650
新北市汐止區,永馳電子企業股份有限公司,其他相關製造業,220000000,1000
台北市內湖區,系統電子工業股份有限公司,電腦及其週邊設備製造業,1500000000,500
台北市松山區,格雷蒙集團_台灣格雷蒙股份有限公司,光電產業,2070000000,500
台北市中正區,永豐金證券股份有限公司,證券及期貨業,16200000000,2300
台北市松山區,富邦人壽保險股份有限公司_南神通訊處(林雅麗)(核准文號110A01號),人身保險業,110831140000,27653
台北市松山區,富邦人壽保險股份有限公司_中銜通訊處(蔡雨婷)(核准文號110A01號),人身保險業,110831140000,27653
新北市林口區,英屬維京群島商祥茂光電科技股份有限公司台灣分公司,光電產業,2100000000,1400
台北市南港區,帆宣系統科技股份有限公司,半導體製造業,1872190000,700
台北市大安區,英屬蓋曼群島商大洋商業集團控股股份有限公司,百貨相關業,1955310000,1375
台北市信義區,安聯人壽保險股份有限公司_超悦通訊處,人身保險業,6183000000,4500
新北市汐止區,國泰人壽保險股份有限公司_展業汐止通訊處(黃天傑)認證編號20210330AO4001,人身保險業,100000000000,30000
台北市松山區,錠嵂保險經紀人股份有限公司_北五營業處(李俊毅),人身保險業,580250000,2200
台北市松山區,富邦人壽保險股份有限公司_富焱通訊處(核准文號110A01號),人身保險業,110831140000,27653
台北市中正區,國光汽車客運股份有限公司,汽車客運業,1000000000,2000
台北市南港區,全方面股份有限公司,塑膠製品製造業,450000,1100
台北市松山區,富邦人壽保險股份有限公司_富琦通訊處(核准文號110A01),人身保險業,110831140000,27653
新北市中和區,崑仰電子股份有限公司,其他電子零組件相關業,70000000,1500
台北市南港區,亞力電機股份有限公司,被動電子元件製造業,2010000000,600
新北市新店區,裕隆集團_格上汽車租賃股份有限公司,運輸工具設備租賃業,720000000,650
台北市內湖區,美商德盟全球凱展股份有限公司台灣分公司,工商顧問服務業,0,1000
台北市松山區,富邦人壽保險股份有限公司_中英通訊處(潘以諾)(核准文號110A01號),人身保險業,110831140000,27653
新北市汐止區,金富裕興業股份有限公司,醫療器材製造業,22000000,950
台北市中正區,中國人壽保險股份有限公司－宏觀通訊處 中壽北B業支網第21040601號,人身保險業,37900000000,13137
台北市中山區,烜瑞國際有限公司,塑膠製品製造業,0,500
台北市中正區,南山產物保險股份有限公司,產物保險業,4000000000,740
台北市松山區,富邦人壽保險股份有限公司_屏翔通訊處(沈佩儒)(核淮文號110A01號),人身保險業,110831140000,27653
台北市中正區,菲姐義大利生活館_滿秀靈國際有限公司,百貨相關業,25000000,800
台北市信義區,全球人壽保險股份有限公司_大安通訊處(李珠鸞)(核准文號110徵廣宣字第NR203005號),人身保險業,6435000000,3000
新北市金山區,104測試_APP公司(請勿應徵),菸草製造業,585500000000,2319
新北市中和區,東森購物_電視購物_東森得易購股份有限公司,百貨相關業,4000000000,2200
台北市信義區,海底撈火鍋股份有限公司,餐館業,200000000,1600
台北市大安區,眾達光電股份有限公司,光電產業,600000000,1000
台北市松山區,富邦人壽保險股份有限公司_桃駿通訊處(核准文號110A01號),人身保險業,110831140000,27825
台北市信義區,鴻名企業股份有限公司,電腦及其週邊設備製造業,1000000000,1300
台北市大同區,匯大國際貿易有限公司,百貨相關業,0,500
新北市土城區,全康精密工業股份有限公司,其他電子零組件相關業,319910000,700
新北市新店區,呈軍有限公司,汽機車及其零配件用品／批發業,30000000,500
新北市土城區,雃博股份有限公司,醫療器材製造業,109000000,650
台北市信義區,環球台灣諮詢顧問有限公司,工商顧問服務業,2000000,1000
台北市北投區,新光人壽保險股份有限公司_北投通訊處(范高齊),人身保險業,579460000,10861
新北市中和區,大陸商深圳市高斯寶電氣技術有限公司台灣辦事處,消費性電子產品製造業,400000000,2000
台北市松山區,富邦人壽保險股份有限公司_中耀通訊處(核准文號110A01號),人身保險業,110831140000,27653
台北市北投區,臺北榮民總醫院_胃腸科,醫院,10000000000,5000
新北市汐止區,太康精密股份有限公司,其他電子零組件相關業,300000000,600
台北市中山區,日商再春館股份有限公司台灣分公司,藥品／化妝品及清潔用品零售業,3000000,1066
台北市松山區,富邦人壽保險股份有限公司_中實通訊處(核准文號：110A01號)(周家慧),人身保險業,110831140000,27825
台北市松山區,富邦人壽保險股份有限公司(富六通訊處)(核准文號：110A01號),人身保險業,110831140000,27653
台北市松山區,富邦人壽保險股份有限公司_富寶通訊處(高賜寶)(核准文號110A01號),人身保險業,110831140000,27653
台北市松山區,富邦人壽保險股份有限公司_竹佑通訊處(蔣仕崇)(核准文號110A01號),人身保險業,110831140000,27653
台北市中正區,新加坡商優思特股份有限公司台灣分公司,工商顧問服務業,0,23000
新北市板橋區,國泰人壽保險股份有限公司_專板泰通訊處(陳秀禎)(認證編號20210315F91001),人身保險業,100000000000,30000
台北市中山區,國泰人壽保險股份有限公司_專招博愛通訊處(陳中和),人身保險業,100000000000,30000
新北市汐止區,緯創軟體股份有限公司,電腦軟體服務業,438780000,6500
台北市內湖區,磐石保險經紀人股份有限公司(總公司),人身保險業,197720000,1000
台北市內湖區,三希科技集團-3CEMS_英屬維京群島商廣仁科技股份有限公司台北分公司,電腦及其週邊設備製造業,30000000,4500
台北市松山區,富邦人壽保險股份有限公司_高亨通訊處(黃亞葇)核准文號110A01號,人身保險業,110831140000,27653
台北市松山區,富邦人壽保險股份有限公司_富望通訊處(徐子皓)(核准文號110A01號),人身保險業,110831140000,27653
台北市中山區,亞東保全股份有限公司,保全樓管相關業,100000000,1800
台北市松山區,富邦人壽保險股份有限公司_中笙通訊處(核准文號110A01號),人身保險業,110831140000,27653
台北市松山區,富邦人壽保險股份有限公司_嘉冕通訊處(核准文號110A01號),人身保險業,110831140000,27653
新北市淡水區,昱電實業股份有限公司,其他電子零組件相關業,50000000,500
台北市信義區,統一超商股份有限公司,百貨相關業,0,8775
新北市中和區,鴻呈實業股份有限公司,其他電子零組件相關業,280000000,1050
新北市土城區,星石股份有限公司,其他金屬相關製造業,15000000,1200
台北市松山區,富邦人壽保險股份有限公司_富運通訊處(連政鈞)(核准文號110A01號),人身保險業,110831140000,27653
台北市松山區,富邦人壽保險股份有限公司_高貴通訊處(宋志衧)(核准文號110A01號),人身保險業,110831140000,27653
台北市內湖區,好市多股份有限公司,百貨相關業,4400000000,6500
台北市松山區,欣業企業股份有限公司,金屬家具及裝設品製造業,198000000,7000
台北市中山區,台灣巴斯夫股份有限公司,化學原料製造業,3560000000,750
台北市信義區,震旦行股份有限公司五股一分公司_辦公設備系統事業部,電腦及其週邊設備製造業,264000000,600
台北市大同區,大西河股份有限公司,電腦及其週邊設備製造業,66000000,2500
台北市信義區,Regus Taiwan_台北雷格斯商務服務有限公司,物品租賃業,0,10000
新北市汐止區,士商國際股份有限公司,綜合商品批發代理業,19500000,500
台北市松山區,錠嵂保險經紀人股份有限公司_北四營業處(鍾銘澤),人身保險業,451430000,2200
台北市松山區,富邦人壽保險股份有限公司_花宸一通訊處(張能治)(核准文號110A01號),人身保險業,110831140000,27653
新北市板橋區,艾比斯馬特國際股份有限公司,百貨相關業,236660000,550
台北市松山區,富邦人壽保險股份有限公司_高峰通訊處(呂侑儒)(核准文號110A01號),人身保險業,110831140000,27653
新北市板橋區,聯安保全股份有限公司,保全樓管相關業,100000000,3000
台北市中山區,好慶科技企業股份有限公司,其他電子零組件相關業,260000000,1200
台北市松山區,富邦人壽保險股份有限公司_富則通訊處(龔則銘)(核准文號110A01號),人身保險業,110831140000,27653
台北市松山區,財團法人台灣世界展望會,社會福利服務業,116000000,1000
台北市中山區,台灣三洋電機股份有限公司,消費性電子產品製造業,3000000000,1200
新北市五股區,儒鴻企業股份有限公司,紡織成衣業,2740000000,16000
新北市樹林區,臺灣新光商業銀行股份有限公司樹林分公司,銀行業,40700000000,3500
台北市松山區,富邦人壽保險股份有限公司_邦軒通訊處(謝少均)(核准文號110A01號),人身保險業,110831140000,27653
台北市中山區,運達航運股份有限公司,海運,0,500
台北市松山區,富邦人壽保險股份有限公司_高超通訊處(林冠宇)(核准文號110A01號),人身保險業,110831140000,27653
新北市新莊區,進聯工業股份有限公司,電力機械器材製造修配業,0,1500
台北市信義區,好樂迪股份有限公司,其他餐飲業,2300000000,2000
新北市中和區,立華文創有限公司,印刷業,600000000,1200
新北市中和區,昱億電子股份有限公司,消費性電子產品製造業,110000000,1800
台北市內湖區,台灣多耐福股份有限公司,其他金屬相關製造業,336000000,1000
台北市松山區,台灣杜邦股份有限公司,其他相關製造業,4660000000,1000
新北市中和區,華冠通訊股份有限公司,通訊機械器材相關業,2080000000,500
新北市新店區,第一傳動科技股份有限公司,通用機械設備製造修配業,280000000,2000
新北市中和區,華冠通訊股份有限公司,通訊機械器材相關業,2080000000,500
台北市松山區,富邦人壽保險股份有限公司_花宏通訊處(張慧誼)核准文號110A01號,人身保險業,110831140000,27653
新北市中和區,ViewSonic Corporation_優派國際股份有限公司,電腦系統整合服務業,0,1000
台北市松山區,富邦人壽保險股份有限公司_富橋通訊處(江顯森)(核准文號110A01號),人身保險業,110831140000,27653
台北市松山區,富邦人壽保險股份有限公司_高英通訊處(朱家珍)(核准文號110A01號),人身保險業,110831140000,27653
台北市內湖區,全業紡織股份有限公司,紡織成衣業,450000000,500
台北市松山區,富邦人壽保險股份有限公司_中江通訊處(吳雅玲)(核准文號110A01號),人身保險業,110831140000,27653
台北市南港區,友尚股份有限公司,其他半導體相關業,5120740000,650
台北市松山區,富邦人壽保險股份有限公司_富夯通訊處(核准文號110A01號),人身保險業,110831140000,27653
台北市松山區,裕薪汽車商行,儲配／運輸物流業,300000,700
台北市內湖區,香港商霞日美臻股份有限公司台灣分公司,綜合商品批發代理業,2800000,700
台北市松山區,富邦人壽保險股份有限公司_富華通訊處(張家寧)(核准文號110A01號),人身保險業,110831140000,27653
新北市深坑區,泰金寶電通股份有限公司,消費性電子產品製造業,4000000000,1132
新北市新莊區,山富工業股份有限公司,塑膠製品製造業,19000000,700
台北市松山區,富邦人壽保險股份有限公司_中笙通訊處(陳廣騏)(核准文號110A01號),人身保險業,110831140000,27653
台北市松山區,富邦人壽保險股份有限公司_嘉大通訊處(吳政憲)(核准文號110A01號),人身保險業,110831140000,27653
台北市松山區,富邦人壽保險股份有限公司_富貿一通訊處(林和慶)核准文號110A01號,人身保險業,110831140000,27653
台北市松山區,富邦人壽保險股份有限公司_富兆二通訊處(羅威麟)(核准文號109A01號),人身保險業,110831140000,27653
新北市新莊區,莒光保全股份有限公司,保全樓管相關業,0,500
台北市內湖區,BMW總代理_汎德股份有限公司,汽機車及其零配件／用品零售業,0,500
台北市大同區,香港商栢能科技有限公司,消費性電子產品製造業,100000000,5000
台北市大安區,財團法人育成社會福利基金會,社會福利服務業,10000000,900
新北市新莊區,勤誠興業股份有限公司,電腦及其週邊設備製造業,1200000000,1500
台北市信義區,誠品股份有限公司,百貨相關業,1600000000,1600
新北市新店區,鼎新電腦股份有限公司,電腦軟體服務業,760000000,1800
台北市松山區,富邦人壽保險股份有限公司_中友通訊處(鐘友健)(核准文號110A01號),人身保險業,110831140000,27653
台北市中山區,兩岸幸福保險經紀人股份有限公司,人身保險業,10000000,1000
台北市松山區,富邦人壽保險股份有限公司_富年通訊處(黃如玲)(核准文號110A01號),人身保險業,110831140000,27653
台北市中正區,桂冠實業股份有限公司,其他食品製造業,516000000,700
台北市松山區,富邦人壽保險股份有限公司_富學通訊處(羅婉清)(核准文號110A01號),人身保險業,110831140000,27653
台北市南港區,國泰人壽股份有限公司_展業南港通訊處(盧臻)(認證編號：20200521AK4001),人身保險業,100000000000,30000
台北市中山區,國泰人壽保險股份有限公司_專招泰暘通訊處(高緯龍),人身保險業,100000000000,30000
台北市中山區,日商關電工股份有限公司台灣分公司,空調水機電工程業,3000000000,7104
台北市松山區,富邦人壽保險股份有限公司_富皇通訊處(核准文號110A01號),人身保險業,110831140000,27653
台北市內湖區,中天電視股份有限公司,廣播電視節目供應業,1300000000,580
台北市南港區,遠雄人壽保險事業股份有限公司_德威通訊處(陳秋雲區經理),人身保險業,12500000000,7500
台北市松山區,富邦人壽保險股份有限公司_高瞻通訊處(李慧玲)(核准文號110A01號),人身保險業,110831140000,27653
新北市樹林區,松川精密股份有限公司,其他電子零組件相關業,0,3000
台北市松山區,富邦人壽保險股份有限公司_中謙通訊處(盧碧雪)(核准文號110A01號),人身保險業,110831140000,27653
新北市三峽區,大陸商珠海冠宇電池股份有限公司,電池製造業,4000000000,10000
台北市信義區,誠品生活股份有限公司,百貨相關業,473890000,900
台北市中山區,精聯保險經紀人股份有限公司_鴻碩管理處(蔣彩蘭),人身保險業,45000000,3000
新北市永和區,國泰人壽保險股份有限公司_專招永和通訊處(王巽澤),人身保險業,100000000000,30000
台北市大同區,臺灣中小企業銀行股份有限公司,銀行業,71320000000,5200
台北市士林區,希世比能源科技股份有限公司,電池製造業,750000000,620
台北市信義區,英屬開曼群島商訊芯科技股份有限公司台灣分公司,半導體製造業,6000000,2000
台北市松山區,富邦人壽保險股份有限公司_桃宜通訊處(劉佳宜)(核准文號110A01號),人身保險業,110831140000,27653
台北市信義區,保誠人壽保險股份有限公司_總公司,人身保險業,17927000000,700
台北市中山區,國泰人壽保險股份有限公司_東冠通訊處(鄧詠綺),人身保險業,100000000000,30000
台北市松山區,富邦人壽保險股份有限公司_高誠通訊處(核准文號110A01號),人身保險業,110831140000,27653
台北市松山區,富邦人壽_中旭通訊處(陳佳儒)(核准文號110A01號),人身保險業,110831140000,27653
台北市信義區,國泰世華商業銀行股份有限公司_人力資源部,銀行業,69500000000,9000
新北市三重區,堅詠股份有限公司,其他電子零組件相關業,360000000,500
新北市新莊區,香港商威保運動器材股份有限公司在台辦事處,育樂用品製造業,180000000,3500
新北市中和區,瑞軒科技股份有限公司,消費性電子產品製造業,8100000000,2400
新北市新店區,英屬維京群島商亞斯柏實業股份有限公司台灣分公司,其他金屬相關製造業,100000000,1300
台北市松山區,富邦人壽保險股份有限公司_中捷通訊處(王麗華)(核准文號110A01號),人身保險業,110831140000,27653
新北市五股區,紘通企業股份有限公司,其他電子零組件相關業,600000000,600
台北市大安區,新加坡商希米科亞太股份有限公司台灣分公司,生化科技研發業,0,4135
台北市中山區,良機實業股份有限公司,空調水機電工程業,400000000,1500
台北市中正區,香港商首恆有限公司台灣分公司,鞋類／布類／服飾品零售業,0,1500
新北市板橋區,遠東百貨股份有限公司,百貨相關業,13699000000,1400
新北市新莊區,奇鋐科技股份有限公司,電腦及其週邊設備製造業,3500000000,10000
台北市大同區,新光人壽保險股份有限公司_文林通訊處(蔡宜融),人身保險業,62370000000,10860
新北市新店區,格蘭英語_格蘭事業股份有限公司,補習班,0,500
新北市三重區,普英股份有限公司,橡膠製品製造業,280000000,600
台北市松山區,華南永昌綜合證券股份有限公司,證券及期貨業,6500000000,1400
新北市中和區,台灣達利思數位安全股份有限公司,通訊機械器材相關業,20000000,10000
台北市松山區,富邦人壽_富璨通訊處TP917(陳俐文處經理)(核准文號109A01號),人身保險業,110831140000,27825
新北市土城區,耀勝電子股份有限公司,其他電子零組件相關業,438000000,500
新北市泰山區,大砥建材實業有限公司,建材／傢俱批發業,1000000000,500
台北市松山區,富邦人壽保險股份有限公司_竹群通訊處(黃淑芬),人身保險業,110831140000,27653
台北市松山區,富邦人壽保險股份有限公司_高采一通訊處(施星余小姐)(核准文號110A01號),人身保險業,110831140000,27653
新北市新莊區,英屬蓋曼群島商安力國際股份有限公司台灣分公司,電腦及其週邊設備製造業,432480000,700
台北市松山區,富邦人壽保險股份有限公司_富濱通訊處(廖美鈴)(核准文號110A01號),人身保險業,110831140000,27653
台北市松山區,富邦人壽_富創通訊處(核准文號110A01號),人身保險業,110831140000,27653
新北市五股區,金利橡膠股份有限公司,橡膠製品製造業,20000000,1000
台北市內湖區,歐格電子工業股份有限公司,消費性電子產品製造業,1500000000,1000
新北市中和區,聯鈞光電股份有限公司,光電產業,1456810000,700
台北市中山區,六和化工股份有限公司,化學原料及其製品批發業,5577720000,850
台北市松山區,富邦人壽保險股份有限公司_中銘通訊處(陳冠辰)(核准文號110A01號),人身保險業,110831140000,27653
台北市松山區,富邦人壽保險股份有限公司_中江通訊處(核准文號110A01號),人身保險業,110831140000,27653
台北市內湖區,碩天科技股份有限公司,電腦及其週邊設備製造業,89510000,2500
台北市文山區,國立台灣師範大學_環境教育研究所,大專校院教育事業,0,2000
台北市南港區,大學光學科技股份有限公司_大學眼鏡/大學眼科/大學醫美,其他醫療保健服務業,760000000,800
新北市林口區,全台物流股份有限公司,儲配／運輸物流業,360000000,730
新北市三重區,信源彈簧股份有限公司,其他金屬相關製造業,20000000,1000
台北市南港區,廣積科技股份有限公司,自動控制相關業,1764630000,540
新北市中和區,文曄集團_文曄科技股份有限公司,其他半導體相關業,5000000000,2500
新北市中和區,文曄集團_文曄科技股份有限公司,其他半導體相關業,5000000000,2500
台北市松山區,富邦人壽保險股份有限公司_PT101屏翔通訊處(潘芸楓)(核准文號110A01號),人身保險業,110831140000,27653
台北市松山區,富邦人壽保險股份有限公司_嘉珈通訊處(蔡孟宏)(核准文號110A01號),人身保險業,110831140000,27653
台北市松山區,富邦人壽保險股份有限公司_富正通訊處(核准文號110A01號),人身保險業,110831140000,27653
台北市松山區,中工保全股份有限公司,保全樓管相關業,60000000,500
台北市大安區,台灣三菱電梯股份有限公司,其他機械製造修配業,2215000000,1800
新北市汐止區,艾訊股份有限公司,電腦及其週邊設備製造業,825950000,750
新北市中和區,科林儀器股份有限公司,其他醫療保健服務業,237000000,500
新北市三重區,群光電能科技股份有限公司,其他電子零組件相關業,3823000000,12000
台北市松山區,富邦人壽保險股份有限公司_中海通訊處(核准文號110A01號),人身保險業,110831140000,27653
台北市松山區,富邦人壽保險股份有限公司_邦旭通訊處(賴韋廷)(核准文號：110A01號),人身保險業,110831140000,27653
新北市中和區,香港商康祥環球有限公司,消費性電子產品製造業,0,500
台北市中山區,微格有限公司,醫療器材製造業,15000000,500
台北市松山區,富邦人壽保險股份有限公司_富悅通訊處(核准文號110A01號),人身保險業,110831140000,27653
新北市板橋區,中國探針股份有限公司,其他電子零組件相關業,500000000,722
新北市汐止區,兩班家有限公司,餐館業,2000000,500
台北市內湖區,麗嬰房股份有限公司,鞋類／布類／服飾品零售業,2000000000,1000
新北市板橋區,遠百企業股份有限公司_愛買,量販流通相關業,1671600000,2200
台北市中正區,中華電信股份有限公司,電信相關業,120000000000,22000
台北市內湖區,恆隆行貿易股份有限公司,其他零售業,800000000,500
台北市內湖區,哈帝股份有限公司,其他商品批發業,0,500
新北市板橋區,北基加油站_北基國際股份有限公司,燃料零售業,0,750
台北市松山區,德如股份有限公司,機械器具批發業,150000000,1500
新北市板橋區,威技電器股份有限公司,家用電器製造業,200000000,1500
台北市松山區,富邦人壽保險股份有限公司_竹佑通訊處(范逸軍)(核准文號110A01號),人身保險業,110831140000,27653
新北市三重區,新光人壽保險股份有限公司_重陽收費處(鄭銘昆),人身保險業,57979000000,10861
新北市板橋區,錢都日式涮涮鍋_錢都國際餐飲有限公司,餐館業,7000000,850
新北市五股區,優美股份有限公司,室內設計業,3120000000,600
台北市中山區,金果貿易股份有限公司,綜合商品批發代理業,1000000000,500
台北市松山區,新光人壽保險股份有份公司_松山通訊處(李鴻鶴),人身保險業,62376000000,10860
新北市三重區,展達通訊股份有限公司_群光集團關係企業,電腦及其週邊設備製造業,695000000,1000
新北市汐止區,驊陞科技股份有限公司,被動電子元件製造業,600000000,3200
台北市信義區,安聯人壽保險股份有限公司(總公司),人身保險業,28867000000,3300
台北市松山區,富邦人壽保險股份有限公司_高福通訊處(林智文)(核准文號110A01號),人身保險業,110831140000,27653
台北市松山區,富邦人壽保險股份有限公司_花宏台東通訊處(黎又菁) (核准文號110A01號),人身保險業,110831140000,27653
台北市士林區,(頂好Wellcome、JASONS Market Place) 惠康百貨股份有限公司,量販流通相關業,850000000,4100
台北市南港區,黑貓宅急便_統一速達股份有限公司,儲配／運輸物流業,1110000,7000
新北市永和區,國泰人壽保險股份有限公司_專招永和通訊處(丁進財),人身保險業,100000000000,30000
台北市信義區,遠雄建設事業股份有限公司,其他營造業,8350000000,1000
台北市中山區,(台泥)臺灣水泥股份有限公司,水泥及水泥製品製造業,36921750000,1023
